STATE_FULL,STATE,COUNTY,ADDRESS,CITY,ZIP_CODE,AHA_ID,HOSPITAL_NAME,TOTAL_BEDS,BURN_BEDS,TRAUMA_ADULT,TRAUMA_PEDS,BURN_ADULT,BURN_PEDS,ACS_VERIFIED,ADULT_TRAUMA_L1,ADULT_TRAUMA_L2,PEDS_TRAUMA_L1,PEDS_TRAUMA_L2,ABA_VERIFIED,TC_STATE_DESIGNATED,BC_STATE_DESIGNATED,PHONE
Arizona,AZ,Maricopa,7400 E Osborn Rd,Scottsdale,85251,6860376,HonorHealth Scottsdale Osborn Medical Center,341,,1,,,,Yes,1,,,,,Yes,,(480) 882-4000
Arizona,AZ,Pima,1501 N Campbell Ave,Tucson,85719,6860516,Banner University Medical Center - Tucson (Burn Unit at Banner),584,35,1,1,1,1,Yes,1,,,1,No ,Yes,No,(520) 694-0111
Arizona,AZ,Pima,350 N Wilmot Rd,Tucson,85718,6860460,Carondelet St. Joseph's Hospital,486,,1,,,,No,1,,,,,Yes,,(520) 873-3000
Arkansas,AR,Garland,300 Werner St,Hot Springs,71913,6710300,CHI St. Vincent Hospital Hot Springs,254,,1,,,,No,,1,,,,Yes,,(501) 622-1000
Arkansas,AR,Pulaski,1 Children's Way,Little Rock ,72202,6710340,Arkansas Children's Hospital (Arkansas Children's Hospital Burn Center),336,10,,1,1,1,Yes,,,1,,No,Yes,No,(501) 364-1323
Arkansas,AR,Pulaski,4301 W Markham St,Little Rock ,72205,6710440,UAMS Medical Center,522,,1,,,,Yes,1,,,,,Yes,,(501) 686-7000
Arkansas,AR,Pulaski,9601 Baptist Health Dr,Little Rock,72205,6710335,Baptist Health Medical Center,740,,1,,,,No,,1,,,,Yes,,(501) 202-2000
Arkansas,AR,Pulaski,2 St Vincent Circle,Little Rock,72205,6710400,CHI St. Vincent Infirmary ,600,,1,,,,No,,1,,,,Yes,,(501) 552-3000
Arkansas,AR,Washington,3215 N Northhills Blvd,Fayetteville,72703,6710195,Washington Regional Medical Center,342,,1,,,,No,,1,,,,Yes,,(479) 463-1000
California,CA,Alameda,1411 East 31st St,Oakland,94602,6930275,Highland Hospital,438,,1,,,,Yes,1,,,,,Yes,,(510) 437-4800
California,CA,Alameda,20103 Lake Chabot Rd,Castro Valley,94546,6930133,Sutter Health Eden Medical Center,122,,1,,,,Yes,,1,,,,Yes,,(510) 537-1234
California,CA,Alameda,747 52nd St,Oakland,94609,6932180,UCSF Benioff Children's Hospital Oakland,191,,,1,,,Yes,,,1,,,Yes,,(510) 428-3000
California,CA,Butte ,1531 Esplanade,Chico,95926,6930096,Enloe Medical Center,229,,1,,,,Yes,,1,,,,Yes,,(530) 332-7300
California,CA,Contra Costa,1601 Ygnacio Valley Rd,Walnut Creek,94598,6933853,"John Muir Medical Center, Walnut Creek",420,,1,,,,Yes,,1,,,,Yes,,(925) 939-3000
California,CA,Fresno,2823 Fresno St,Fresno,93721,6930790,Community Regional Medical Center (Leon S. Peters Burn Center),852,10,1,,1,1,Yes,1,,,,Yes,Yes,Yes,(559) 459-6000
California,CA,Kern,420 34th St,Bakersfield,93301,6930079,The Grossman Burn Center at Bakersfield Memorial Hospital ,372,7,,,1,1,,,,,,Yes ,,Yes,(661) 323-2876
California,CA,Los Angeles,1600 West Avenue J,Lancaster,93534,6931178,Antelope Valley Hospital ,368,,1,,,,Yes,,1,,,,Yes,,(661) 949-5000
California,CA,Los Angeles,8700 Beverly Blvd,West Hollywood,90048,6930444,Cedar-Sinai Medical Center,889,,1,,,,Yes,1,,,,,Yes,,(310) 423-5000
California,CA,Los Angeles,4650 Sunset Blvd,Los Angeles ,90027,6931470,Children's Hospital Los Angeles,379,,,1,,,Yes,,,1,,,Yes,,(323) 660-2450
California,CA,Los Angeles,1798 North Garey Ave,Pomona,91767,6932450,Pomona Valley Hospital Medical Center,412,,1,,,,Yes,,1,,,,Yes,,(909) 865-9500
California,CA,Los Angeles,3630 East Imperial Hwy,Lynwood,90262,6931790,St. Francis Medical Center Lynwood,323,,1,,,,Yes,,1,,,,Yes,,(310) 900-8900
California,CA,Los Angeles,15031 Rinaldi St,Mission Hills,91345,6932860,Providence Holy Cross Medical Center,377,,1,,,,Yes,,1,,,,Yes,,(818) 365-8051
California,CA,Los Angeles,757 Westwood Plaza,Los Angeles,90095,6931755,Ronald Reagan UCLA Medical Center,445,,1,,,,Yes,1,,,,,Yes,,(310) 825-9111
California,CA,Los Angeles,7300 Medical Center Dr,West Hills,91307,6930379,The Grossman Burn Center at West Hills Hospital & Medical Center ,225,8,,,1,,,,,,,Yes,,Yes,(818) 676-4177
California,CA,Los Angeles,3330 Lomita Blvd,Torrance,90505,6933679,Torrance Memorial Burn Center,436,12,,,1,1,,,,,,Yes,,Yes,(310) 517-4622
California,CA,Los Angeles ,1401 S Grand Ave,Los Angeles,90015,6931440,California Hospital Medical Center,318,,1,,,,Yes,,1,,,,Yes,,(213) 748-2411
California,CA,Los Angeles ,18300 Roscoe Blvd,Northridge ,91335,6932118,Northridge Hospital Medical Center,394,,1,,,,Yes,,1,,,,Yes,,(818) 885-8500
California,CA,Los Angeles ,1000 W Carson St,Torrance,90502,6933683,Harbor-UCLA Medical Center,453,,1,,,,Yes,1,,,,,Yes,,(310)222-2345
California,CA,Los Angeles ,23845 McBean Pkwy,Valencia,91355,6933488,Henry Mayo Newhall Hospital,238,,1,,,,Yes,,1,,,,Yes,,(661) 200-2000
California,CA,Los Angeles ,100 W California Blvd,Pasadena,91105,6932350,Huntington Hospital,619,,1,,,,Yes,,1,,,,Yes,,(626) 397-5000
California,CA,Los Angeles ,1200 N State St,Los Angeles,90033,6931580,LAC + USC Medical Center (LAC + USC Regional Burn Center),538,20,1,,1,1,Yes,1,,,,Yes ,Yes,Yes,(323) 409-1000
California,CA,Los Angeles ,2801 Atlantic Ave,Long Beach,90806,6931370,Long Beach Medical Center,412,,1,,,,Yes,,1,,,,Yes,,(562) 933-2000
California,CA,Los Angeles ,1050 Linden Ave,Long Beach,90813,6931360,St. Mary Medical Center Long Beach,307,,1,,,,Yes,,1,,,,Yes,,(562) 491-9000
California,CA,Madera,9300 Valley Children's Place,Madera,93636,6930814,Valley Children's Healthcare,208,,,1,,,Yes,,,,1,,Yes,,(559) 353-3000
California,CA,Monterey ,1441 Constitution Blvd,Salinas ,93906,6932720,Natividad Medical Center,161,,1,,,,Yes,,1,,,,Yes,,(831) 647-7611
California,CA,Orange,27700 Medical Center Rd,Mission Viejo,92691,6931915,Providence Mission Hospital,275,,1,1,,,Yes,,1,,1,,Yes,,(949) 364-1400
California,CA,Orange,101 The City Dr South,Orange,92868,6932290,UC Irvine Health (UCI Regional Burn Center),418,8,1,1,1,1,Yes,1,,,1,Yes,Yes,Yes,(714) 456-6011
California,CA,Orange ,1201 West La Veta Ave,Orange,92868,6932287,Children's Hospital of Orange County,334,,,1,,,Yes,,,,1,,Yes,,(714) 997-3000
California,CA,Orange ,1001 North Tustin Ave,Santa Ana,92705,6933377,Orange County Global Medical Center (Orange County Burn Center),282,7,1,,1,1,Yes,,1,,,No,Yes,Yes,(714) 953-3500
California,CA,Placer,1 Medical Plaza Dr,Roseville,95661,6932645,Sutter Roseville Medical Center,328,,1,,,,Yes,,1,,,,Yes,,(916) 781-1000
California,CA,Riverside,1150 N Indian Canyon Dr,Palm Springs,92262,6932325,Desert Regional Medical Center,367,,1,,,,Yes,,1,,,,Yes,,(760) 323-6511
California,CA,Riverside ,4445 Magnolia Ave,Riverside ,92501,6932585,HCA Riverside Community Hospital,373,,1,,,,Yes,,1,,,,Yes,,(951) 788-3000
California,CA,Riverside ,36485 Inland Valley Rd,Wildomar,92595,6930640,Inland Valley Medical Center,122,,1,,,,Yes,,1,,,,Yes,,(951) 677-1111
California,CA,Riverside ,26520 Cactus Avenue,Moreno Valley,92555,6930110,Riverside University Health System Medical Center,439,,1,,,,Yes,1,,,,,Yes,,(951) 486-4000
California,CA,Sacramento ,6501 Coyle Ave,Carmichael,95608,6930037,Mercy San Juan Medical Center,370,,1,,,,Yes,,1,,,,Yes,,(916) 537-5000
California,CA,Sacramento ,6600 Bruceville Rd,Sacramento,95823,6932673,Kaiser Permanente South Sacramento Medical Center,241,,1,,,,Yes,,1,,,,Yes,,(916) 688-2430
California,CA,Sacramento ,2315 Stockton Blvd,Sacramento,95817,6932680,UC Davis Medical Center (UC Davis Regional Burn Center),634,12,1,1,1,,Yes,1,,1,,Yes,Yes,Yes,(916) 734-2011
California,CA,Sacramento ,2425 Stockton Blvd,Sacramento,95817,6933080,Shriners Burn Center at Shriners Hospitals for Children - Nothern California,80,10,,,,1,,,,,,Yes,,Yes,(916) 453-2000
California,CA,San Bernardino,400 N  Pepper Ave,Colton,92324,6932770,Arrowhead Regional Medical Center (Edward G. Hirschman Burn Center),456,14,1,,1,1,Yes,,1,,,No,Yes,Yes,(909) 580-1000
California,CA,San Bernardino,11234 Anderson St,Loma Linda,92354,6930053,Loma Linda University Medical Center/Loma Linda University Children's Hospital,533,,1,1,,,Yes,1,,1,,,Yes,,(909) 558-4000
California,CA,San Diego,2185 West Citracado Pkwy,Escondido,92029,6930660,Palomar Medical Center Escondido,288,,1,,,,Yes,,1,,,,Yes,,(760) 739-3000
California,CA,San Diego,3020 Children's Way,San Diego,92123,6932775,Rady Children's Hospital - San Diego,326,,,1,,,Yes,,,1,,,Yes,,(858) 576-1700
California,CA,San Diego,9888 Genessee Ave,La Jolla,92037,6931130,Scripps Memorial Hospital,426,,1,,,,Yes,,1,,,,Yes,,(858) 626-4123
California,CA,San Diego,4077 5th Ave,San Diego,92103,6932810,Scripps Mercy Hospital,392,,1,,,,Yes,1,,,,,Yes,,(619) 294-8111
California,CA,San Diego,7901 Frost St,San Diego,92123,6932785,Sharp Memorial Hospital,459,,1,,,,Yes,,1,,,,Yes,,(858) 939-3400
California,CA,San Diego,200 W Arbor Dr,San Diego,92103,6932820,UC San Diego Medical Center (UCSD Regional Burn Center),723,8,1,,1,1,Yes,1,,,,Yes,Yes,Yes,(619) 543-6222
California,CA,San Francisco ,1001 Potrero Ave,San Francisco,94110,6933060,Zuckerberg San Francisco General Hospital ,297,,1,,,,Yes,1,,,,,Yes,,(628) 206-8000
California,CA,San Francisco ,900 Hyde St ,San Francisco,94109,6933020,Bothin Burn Center at St. Francis Memorial Hospital,239,16,,,1,1,,,,,,Yes,,Yes,(415) 353-6000
California,CA,San Joaquin,500 West Hospital Rd,French Camp,95231,6930780,San Joaquin General Hospital,110,,1,,,,Yes,,1,,,,Yes,,(209) 468-6000
California,CA,Santa Clara,300 Pasteur Dr,Palo Alto,94305,6932330,Stanford Health Care/Lucile Packard Children's Hospital Stanford,602,,1,1,,,Yes,1,,1,,,Yes,,(650) 723-4000
California,CA,Santa Barbara,400 W Pueblo St,Santa Barbara,93105,6933375,Santa Barbara Cottage Hospital,430,,1,,,,Yes,1,,,,,Yes,,(805) 682-7111
California,CA,Santa Clara,751 South Bascom Ave,San Jose,95128,6933240,Santa Clara Valley Medical Center (Santa Clara Valley Medical Center Regional Burn Center),481,8,1,1,1,1,Yes,1,,,1,Yes,Yes,Yes,(408) 885-5000
California,CA,Santa Clara ,225 N Jackson Ave,San Jose,95116,6933199,HCA Regional Medical Center,247,,1,,,,Yes,,1,,,,Yes,,(408) 259-5000
California,CA,Shasta,2175 Rosaline Ave,Redding,96001,6932520,Mercy Medical Center Redding,260,,1,,,,Yes,,1,,,,Yes,,(530) 225-6000
California,CA,Solano,1 Quality Dr,Vacaville,95688,6930422,Kaiser Permanente Vacaville Medical Center,144,,1,,,,Yes,,1,,,,Yes,,(707) 624-4000
California,CA,Solano,1200 B. Gale Wilson Blvd,Fairfield,94533,6930403,NorthBay Medical Center,190,,1,,,,Yes,,1,,,,Yes,,(707) 646-5000
California,CA,Sonoma,1165 Montgomery Dr,Santa Rosa,95405,6930109,Santa Rosa Memorial Hospital,283,,1,,,,Yes,,1,,,,Yes,,(707) 522-4304
California,CA,Stanislaus,1441 Florida Ave,Modesto,95350,6930016,Doctors Medical Center,461,,1,,,,Yes,,1,,,,Yes,,(209) 578-1211
California,CA,Stanislaus,1700 Coffee Rd,Modesto,95355,6931929,Memorial Medical Center,220,,1,,,,Yes,,1,,,,Yes,,(209) 526-4500
California,CA,Ventura,300 Hillmont Ave,Ventura,93003,6933820,Ventura County Medical Center ,214,,1,,,,Yes,,1,,,,Yes,,(805) 652-6000
California,CA,Ventura ,215 West Janss Rd,Thousand Oaks,91360,6933672,Los Robles Hospital and Medical Center,382,,1,,,,Yes,,1,,,,Yes,,(805)370-4421
Colorado,CO,Adams,13123 East 16th Ave,Aurora,80045,6840280,Children's Hospital Colorado (Children's Hospital Colorado Burn Center),434,3,,1,,1,Yes,,,1,,No,Yes,No,(720) 777-1234
Colorado,CO,Adams,12605 E 16th Ave,Aurora,80045,6840430,University of Colorado Hospital (Burn & Frostbite Center at UCHealth),825,19,1,,1,,Yes,1,,,,Yes,Yes,No,(720) 848-0000
Colorado,CO,Adams,9191 Grant St,Thornton,80229,6840458,North Suburban Medical Center,147,,1,,,,No,,1,,,,Yes,,(303) 451-7800
Colorado,CO,Arapahoe,501 E Hampden Ave,Englewood,80113,6840530,Swedish Medical Center (Burn and Reconstructive Centers of Colorado),389,20,1,,1,1,Yes,1,,,,No,Yes,No,(303) 788-5000
Colorado,CO,Arapahoe,1501 South Potomac St,Aurora,80012,6840014,Medical Center of Aurora ,346,,1,,,,Yes,,1,,,,Yes,,(303) 695-2600
Colorado,CO,Arapahoe,7700 S Broadway St,Littleton,80122,6840805,Littleton Adventist Hospital ,231,,1,,,,Yes,,1,,,,Yes,,(303) 730-8900
Colorado,CO,Boulder,200 Exempla Circle,Lafayette ,80026,6840021,Good Samaritan Medical Center,234,,1,,,,Yes,,1,,,,Yes,,(303) 689-4000
Colorado,CO,Boulder,4747 Arapahoe Ave,Boulder,80304,6840237,Boulder Community Foothills Hospital,157,,1,,,,No,,1,,,,Yes,,(720) 854-7000
Colorado,CO,Denver,777 Bannock St,Denver,80204,6840290,Denver Health Medical Center,525,,1,1,,,Yes,1,,,1,,Yes,,(303) 436-6000
Colorado,CO,Douglas,10101 Ridge Gale Pkwy,Lone Tree,80124,6840023,Sky Ridge Medical Center ,284,,1,,,,Yes,,1,,,,Yes,,(720) 225-1000
Colorado,CO,Douglas,9395 Crown Crest Blvd,Parker,80138,6840022,Parker Adventist Hospital,163,,1,,,,Yes,,1,,,,Yes,,(303) 269-4000
Colorado,CO,El Paso,2222 N Nevada Ave,Colorado Springs,80907,6840145,Penrose Hospital,552,,1,,,,Yes,1,,,,,Yes,,(719) 776-5000
Colorado,CO,El Paso,1400 E Boulder St,Colorado Springs,80909,6840190,UCHealth Memorial Hospital,512,,1,,,,Yes,1,,,,,Yes,,(719) 365-5000
Colorado,CO,El Paso,4090 Briargate Pkwy,Colorado Springs,80920,6840104,Children's Hospital of Colorado at Memorial,115,,,1,,,Yes,,,,1,,Yes,,(719) 305-1234
Colorado,CO,Jefferson,11600 W 2nd Pl,Lakewood,80228,6840385,St. Anthony Hospital,237,,1,,,,Yes,1,,,,,Yes,,(720) 321-0000
Colorado,CO,Jefferson,8300 W 38th Ave,Wheat Ridge,80033,6840012,Lutheran Medical Center,336,,1,,,,Yes,,1,,,,Yes,,(303) 425-4500
Colorado,CO,Larimer,2500 Rocky Mountain Ave,Loveland,80538,6840033,UCHealth Medical Center of the Rockies,166,,1,,,,Yes,,1,,,,Yes,,(970) 624-2500
Colorado,CO,Mesa,2635 N 7th St,Grand Junction,81501,6840625,St. Mary's Hospital and Medical Center,310,,1,,,,Yes,,1,,,,Yes,,(970) 298-2273
Colorado,CO,Weld,1801 16th St,Greeley,80631,6840650,North Colorado Medical Center (Western States Burn Center),369,10,1,,1,,Yes,,1,,,Yes,Yes,No,(970) 810-4121
Connecticut,CT,Fairfield,267 Grant St,Bridgeport,06610,6160002,Bridgeport Hospital (The Connecticut Burn Center),501,9,1,,1,,Yes,,1,,,Yes,Yes,Yes,(203) 384-3000
Connecticut,CT,Fairfield,24 Hospital Ave,Danbury,06810,6160100,Danbury Hospital,456,,1,,,,Yes,,1,,,,Yes,,(203) 739-7000
Connecticut,CT,Fairfield,34 Maple St,Norwalk,06856,6160530,Norwalk Hospital,366,,1,,,,Yes,,1,,,,Yes,,(203) 852-2000
Connecticut,CT,Fairfield,2800 Main St,Bridgeport,06606,6160010,St. Vincent's Medical Center ,473,,1,,,,Yes,,1,,,,Yes,,(203) 576-6000
Connecticut,CT,Fairfield,1 Hospital Plz,Stamford,06904,6160009,Stamford Hospital,305,,1,,,,Yes,,1,,,,Yes,,(203) 276-1000
Connecticut,CT,Hartford,282 Washington St,Hartford,06106,6160450,Connecticut Children's Medical Center,185,,,1,,,Yes,,,1,,,Yes,,(860) 545-9000
Connecticut,CT,Hartford,80 Seymour St,Hartford,06102,6160003,Hartford Hospital,867,,1,,,,Yes,1,,,,,Yes,,(860) 545-9000
Connecticut,CT,Hartford,114 Woodland St,Hartford,06105,6160004,Saint Francis Hospital and Medical Center,617,,1,,,,Yes,1,,,,,Yes,,(860) 714-4000
Connecticut,CT,New Haven,56 Franklin St,Waterbury,06706,6160740,Saint Mary's Hospital,379,,1,,,,Yes,,1,,,,Yes,,(203) 709-6000
Connecticut,CT,New Haven,64 Robbins St,Waterbury,06708,6160750,Waterbury Hospital,357,,1,,,,Yes,,1,,,,Yes,,(203) 573-6000
Connecticut,CT,New Haven,20 York St,New Haven,06510,6160400,Yale-New Haven Hospital,1573,,1,1,,,Yes,1,,1,,,Yes,,(203) 688-4242
Connecticut,CT,New Haven,1450 Chapel St,New Haven,06511,6160410,Yale-New Haven Hospital-Saint Raphael,573,,1,,,,No,,1,,,,Yes,,(203) 789-3000
Delaware,DE,New Castle,4755 Ogletown-Stanton Rd,Newark,19713,6310120,ChristianaCare,1140,,1,,,,Yes,1,,,,,Yes,,(302) 733-1000
Delaware,DE,New Castle,1600 Rockland Rd,Wilmington,19803,6310110,Nemours Children's Hospital ,137,,,1,,,Yes,,,1,,,Yes,,(302) 651-4200
District of Columbia,DC,District of Columbia,110 Irving St,Washington,20010,6330120,MedStar Washington Hospital Center (The Burn Center at MedStar Washington Hospital Center),926,10,1,,1,,Yes,1,,,,Yes,Yes,Yes,(202) 877-7000
District of Columbia,DC,District of Columbia,900 23rd St,Washington,20037,6330140,George Washington University Hospital,371,,1,,,,Yes,1,,,,,Yes,,(202) 715-4000
District of Columbia,DC,District of Columbia,2041 Georgia Ave,Washington,20060,6330100,Howard University Hospital,300,,1,,,,Yes,1,,,,,Yes,,(202) 865-6100
District of Columbia,DC,District of Columbia,111 Michigan Ave,Washington,20010,6330030,Children's National Health System (Children's National Trauma and Burn Center),323,31,,1,,1,Yes,,,1,,No,Yes,Yes,(202) 476-5000
Florida,FL,Alachua,1600 SW Archer Rd,Gainesville,32610,6390283,UF Health Shands Hospital (UF Health Shands Burn Center),1162,27,1,,1,,Yes,1,,,,Yes,Yes,Yes,(352) 265-0111
Florida,FL,Bay,615 N Bonita Ave,Panama City,32401,6390775,Ascension Sacred Heart Bay,202,,1,,,,No,,1,,,,Yes,,(850) 769-1511
Florida,FL,Brevard,1350 Hickory St,Melbourne,32901,6390530,Health First Holmes Regional Medical Center,514,,1,,,,No,,1,,,,Yes,,(321) 434-7000
Florida,FL,Broward,3501 Johnson St,Hollywood,33021,6390295,Memorial Regional Hospital/Joe DiMaggio Children's Hospital,797,,1,1,,,Yes,1,,,1,,Yes,,(954) 987-2000
Florida,FL,Broward,1600 S Andrews Ave,Fort Lauderdale,33316,6390210,Broward Health Medical Center,716,,1,,,,No,1,,,,,Yes,,(954) 355-4400
Florida,FL,Broward,201 E Sample Rd,Pompano Beach,33064,6390849,Broward Health North,331,,1,,,,No,,1,,,,Yes,,(954) 941-8300
Florida,FL,Clay,2001 Kingsley Ave,Orange Park,32073,6390700,Orange Park Medical Center,365,,1,,,,No,,1,,,,Yes,,(904) 639-8500
Florida,FL,Duval,655 W 8th St,Jacksonville,32209,6390082,Shands Jacksonville Medical Center,695,,1,,,,Yes,1,,,,,Yes,,(904) 244-0411
Florida,FL,Duval,800 Prudential Dr,Jacksonville,32207,6390134,Wolfson Children's Hospital,216,,,1,,,No,,,1,,,Yes,,(904) 202-8000
Florida,FL,Escambia,1000 W Moreno St,Pensacola,32501,6390792,Baptist Hospital,264,,1,,,,No,,1,,,,Yes,,(850) 434-4011
Florida,FL,Escambia,5151 N Ninth Ave,Pensacola,32504,6390830,Ascension Sacred Heart Pensacola,566,,1,1,,,No,,1,,1,,Yes,,(850) 416-7000
Florida,FL,Hillsborough,1 Tampa General Circle,Tampa,33606,6391060,Tampa General Hospital (Tampa General Hospital Regional Burn Center),1041,18,1,1,1,1,Yes,1,,1,,Yes,Yes,Yes,(813) 844-7000
Florida,FL,Hillsborough,3001 Martin Luther King Jr. Blvd,Tampa,33607,6390053,St. Joseph's Hospital,774,,1,1,,,No,,1,,1,,Yes,,(813) 870-4000
Florida,FL,Lee,2776 Cleveland Ave,Fort Myers,33901,6390240,Lee Memorial Hospital,414,,1,,,,No,,1,,,,Yes,,(239) 343-2000
Florida,FL,Leon,1300 Miccosukee Rd,Tallahassee,32308,6391030,Tallahassee Memorial HealthCare,772,,1,,,,No,,1,,,,Yes,,(850) 431-1155
Florida,FL,Manatee,2020 59th St West,Bradenton,34209,6390055,Blake Medical Center (Burn Center at Blake Medical Center),383,12,1,,1,,Yes,,1,,,No,Yes,Yes,(941) 792-6611
Florida,FL,Marion,1431 SW 1st Ave,Ocala,34471,6390680,Ocala Regional Medical Center,288,,1,,,,Yes,,1,,,,Yes,,(352) 401-1000
Florida,FL,Miami-Dade,11750 Bird Rd,Miami,33175,6390515,Kendall Regional Medical Center (Burn and Reconstructive Centers of FL),447,18,1,,1,,Yes,1,,,,Yes,Yes,Yes,(305) 223-3000
Florida,FL,Miami-Dade,1611 NW 12th Ave,Miami,33136,6390570,Jackson Memorial Hospital (Miami Burn Center),1550,,1,,1,1,Yes,1,,,,Yes,Yes,Yes,(305) 585-1111
Florida,FL,Miami-Dade,3100 SW 62nd Ave,Miami,33155,6390625,Nicklaus Children's Hospital,309,,,1,,,Yes,,,1,,,Yes,,(305) 666-6511
Florida,FL,Miami-Dade,20900 Biscayne Blvd,Miami,33180,6390282,Aventura Hospital and Medical Center,407,,1,,,,No,,1,,,,Yes,,(305) 682-7000
Florida,FL,Miami-Dade,9333 SW 152nd St,Palmetto Bay,33157,6390560,Jackson South Community Hospital,192,,1,,,,No,,1,,,,Yes,,(305) 251-2500
Florida,FL,Okaloosa,1000 Mar-Walt Dr,Fort Walton Beach,32547,6390253,Fort Walton Beach Medical Center,267,,1,,,,Yes,,1,,,,Yes,,(850) 862-1111
Florida,FL,Orange,52 W Underwood St,Orlando,32806,6390695,Orlando Regional Medical Center/Arnold Palmer Hospital for Children (Warden Burn Center),808,10,1,1,1,,Yes,1,,1,,Yes,Yes,Yes,(407) 841-5111
Florida,FL,Osceola,700 W Oak St,Kissimmee,34741,6390440,Osceola Regional Medical Center,414,,1,,,,No,,1,,,,Yes,,(407) 846-2266
Florida,FL,Palm Beach,5352 Linton Blvd,Delray Beach,33484,6390081,Delray Medical Center,523,,1,,,,No,1,,,,,Yes,,(561) 498-4440
Florida,FL,Palm Beach,901 45th St,Mangonia Park,33407,6391140,St. Mary's Medical Center,460,,1,,,,No,1,,,,,Yes,,(561) 844-6300
Florida,FL,Pasco,14000 Fivay Rd,Hudson,34667,6390385,Regional Medical Center Bayonet Point,290,,1,,,,No,,1,,,,Yes,,(727) 869-5400
Florida,FL,Pinellas,701 6th St South,St Petersburg,33701,6390930,Bayfront Health St. Petersburg,480,,1,,,,No,,1,,,,Yes,,(727) 823-1234
Florida,FL,Pinellas,501 6th Ave South,St Petersburg,33701,6390900,Johns Hopkins All Children's Hospital ,259,,,1,,,No,,,,1,,Yes,,(727) 897-4926
